arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,5,40,frag=1,14,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,5,40,frag=2,49,PB-valide,PB-Filter -> gnina,53.06
SigmaDock,5,40,frag=3,52,PB-valide,PB-Filter -> gnina,13.46
SigmaDock,5,40,frag=4,56,PB-valide,PB-Filter -> gnina,3.57
SigmaDock,5,40,frag=5,61,PB-valide,PB-Filter -> gnina,1.64
SigmaDock,5,40,frag=6,25,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=7,18,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=8,15,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=9,8,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=10,3,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=11,2,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=12,1,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=13,1,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=14,2,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,alle,307,PB-valide,Orakel,16.29
SigmaDock,5,40,frag=1,14,PB-valide,Orakel,100.0
SigmaDock,5,40,frag=2,49,PB-valide,Orakel,53.06
SigmaDock,5,40,frag=3,52,PB-valide,Orakel,13.46
SigmaDock,5,40,frag=4,56,PB-valide,Orakel,3.57
SigmaDock,5,40,frag=5,61,PB-valide,Orakel,1.64
SigmaDock,5,40,frag=6,25,PB-valide,Orakel,0.0
SigmaDock,5,40,frag=7,18,PB-valide,Orakel,0.0
SigmaDock,5,40,frag=8,15,PB-valide,Orakel,0.0
SigmaDock,5,40,frag=9,8,PB-valide,Orakel,0.0
SigmaDock,5,40,frag=10,3,PB-valide,Orakel,0.0
SigmaDock,5,40,frag=11,2,PB-valide,Orakel,0.0
