arm,nfe,complex,n,basis,q0.25@1.0,q0.5@1.0,q1.0@1.0,q0.25@2.0,q0.5@2.0,q1.0@2.0
Minimal,5,1TOW_CRZ,200,True,True,True,True,True,True,True
Minimal,5,1TT1_KAI,200,True,True,True,True,True,True,True
Minimal,5,1TZ8_DES,200,False,False,False,False,False,False,False
Minimal,5,1U1C_BAU,200,True,True,True,True,True,True,True
Minimal,5,1U4D_DBQ,200,True,True,False,False,False,False,False
Minimal,5,1UML_FR4,200,True,True,True,True,True,True,True
Minimal,5,1UNL_RRC,200,True,True,True,True,True,True,True
Minimal,5,1UOU_CMU,200,True,True,True,True,True,True,True
Minimal,5,1V0P_PVB,200,True,True,True,True,True,True,True
Minimal,5,1V48_HA1,200,True,True,True,True,True,True,True
Minimal,5,1V4S_MRK,200,True,True,True,True,True,True,True
Minimal,5,1VCJ_IBA,200,True,False,False,False,True,True,True
Minimal,5,1W1P_GIO,200,True,True,False,False,True,False,True
Minimal,5,1W2G_THM,200,True,True,True,True,True,True,True
Minimal,5,1X8X_TYR,200,True,True,True,True,True,True,True
Minimal,5,1XM6_5RM,200,True,True,True,True,True,True,True
Minimal,5,1XOQ_ROF,200,True,True,True,True,True,True,True
Minimal,5,1XOZ_CIA,200,True,True,True,True,True,True,True
Minimal,5,1Y6B_AAX,200,True,True,True,True,False,True,False
Minimal,5,1YGC_905,200,False,False,False,False,False,False,False
Minimal,5,1YQY_915,200,True,True,True,True,True,True,True
Minimal,5,1YV3_BIT,200,True,True,True,True,True,True,True
Minimal,5,1YVF_PH7,200,True,True,True,True,True,True,True
Minimal,5,1YWR_LI9,200,True,False,False,False,True,True,True
Minimal,5,1Z95_198,200,True,True,True,True,True,True,True
Minimal,5,2BM2_PM2,200,True,False,False,False,True,False,False
Minimal,5,2BR1_PFP,200,True,True,True,True,True,True,True
Minimal,5,2BSM_BSM,200,True,True,True,True,True,True,True
Separate,5,1G9V_RQ3,200,True,True,True,True,True,True,True
Separate,5,1GKC_NFH,200,True,True,True,True,True,True,True
Separate,5,1GM8_SOX,200,True,True,True,True,True,True,False
Separate,5,1GPK_HUP,200,True,True,False,True,True,False,True
Separate,5,1HNN_SKF,200,True,True,True,True,True,True,True
Separate,5,1HP0_AD3,200,True,True,False,False,True,True,True
Separate,5,1HQ2_PH2,200,True,True,True,True,True,True,True
Separate,5,1HVY_D16,200,True,True,True,True,True,True,True
Separate,5,1HWI_115,200,True,True,True,True,True,True,True
Separate,5,1HWW_SWA,200,True,True,True,False,True,True,True
Separate,5,1IA1_TQ3,200,True,True,True,True,True,True,True
Separate,5,1IG3_VIB,200,True,False,False,False,True,False,False
Separate,5,1J3J_CP6,200,True,True,True,True,True,True,True
