complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
1P2Y_NCT,2,SigmaDock,5,40,0.05,27,0.1,False,0.8555,0.1,0.412,9.977
1P2Y_NCT,2,Minimal,25,40,0.25,11,0.275,False,0.5809,0.175,0.409,0.828
1P2Y_NCT,2,Minimal,5,200,0.245,24,0.265,False,0.4793,0.135,0.435,0.726
1P2Y_NCT,2,Separate,25,40,0.5,10,0.4,True,0.496,0.4,0.474,0.796
1P2Y_NCT,2,Separate,5,200,0.375,19,0.3,True,0.4163,0.3,0.445,0.751
1P62_GEO,3,SigmaDock,25,40,0.95,2,0.975,True,0.0317,0.975,0.384,0.499
1P62_GEO,3,SigmaDock,5,40,0.125,35,0.15,True,0.9271,0.15,0.496,16.664
1P62_GEO,3,Minimal,25,40,0.5,9,0.325,True,0.4518,0.325,0.356,0.461
1P62_GEO,3,Minimal,5,200,0.5,13,0.36,True,0.334,0.36,0.266,0.419
1P62_GEO,3,Separate,25,40,0.8,6,0.65,True,0.2908,0.65,0.309,0.615
1P62_GEO,3,Separate,5,200,0.76,16,0.77,True,0.2041,0.77,0.304,0.622
1PMN_984,6,SigmaDock,25,40,0.875,4,0.875,True,0.1379,0.875,0.37,1.677
1PMN_984,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,12.807
1PMN_984,6,Minimal,25,40,0.825,6,0.85,True,0.1781,0.85,0.316,0.881
1PMN_984,6,Minimal,5,200,0.705,13,0.765,True,0.1996,0.765,0.306,0.91
1PMN_984,6,Separate,25,40,0.75,9,0.75,True,0.2862,0.75,0.311,1.058
1PMN_984,6,Separate,5,200,0.785,15,0.825,True,0.1628,0.825,0.358,0.931
1Q1G_MTI,3,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,44.122,
1Q1G_MTI,3,SigmaDock,5,40,0.225,30,0.225,True,0.8436,0.225,44.043,46.248
1Q1G_MTI,3,Minimal,25,40,0.925,2,0.875,True,0.1021,0.875,44.181,44.21
1Q1G_MTI,3,Minimal,5,200,0.895,6,0.815,True,0.1076,0.815,44.193,44.355
1Q1G_MTI,3,Separate,25,40,0.925,2,0.875,True,0.1021,0.875,44.043,44.05
1Q1G_MTI,3,Separate,5,200,0.905,6,0.835,True,0.1041,0.835,44.135,44.162
1Q41_IXM,1,SigmaDock,25,40,0.75,5,0.75,True,0.2316,0.75,41.26,40.954
1Q41_IXM,1,SigmaDock,5,40,0.275,21,0.25,True,0.717,0.25,41.193,54.959
1Q41_IXM,1,Minimal,25,40,0.675,5,0.675,True,0.2825,0.675,41.201,40.826
1Q41_IXM,1,Minimal,5,200,0.505,14,0.505,True,0.3025,0.505,41.152,40.881
1Q41_IXM,1,Separate,25,40,0.75,6,0.75,True,0.2544,0.75,41.195,41.035
1Q41_IXM,1,Separate,5,200,0.615,14,0.62,True,0.2574,0.62,41.154,41.013
1Q4G_BFL,3,SigmaDock,25,40,0.0,2,0.975,False,0.0317,,,44.412
1Q4G_BFL,3,SigmaDock,5,40,0.0,37,0.1,False,0.9624,,,54.049
1Q4G_BFL,3,Minimal,25,40,0.6,3,0.6,True,0.2078,0.6,44.168,44.3
1Q4G_BFL,3,Minimal,5,200,0.57,4,0.57,True,0.1392,0.57,44.204,44.267
1Q4G_BFL,3,Separate,25,40,0.3,2,0.7,False,0.1656,0.3,44.254,44.247
1Q4G_BFL,3,Separate,5,200,0.305,3,0.69,False,0.1217,0.305,44.295,44.311
1R1H_BIR,7,SigmaDock,25,40,0.825,2,0.9,True,0.0881,0.9,0.521,1.718
1R1H_BIR,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,14.687
1R1H_BIR,7,Minimal,25,40,0.925,4,0.875,True,0.1379,0.875,0.38,1.067
1R1H_BIR,7,Minimal,5,200,0.98,3,0.985,True,0.0165,0.985,0.38,0.957
1R1H_BIR,7,Separate,25,40,0.975,3,0.925,True,0.0852,0.925,0.417,2.531
1R1H_BIR,7,Separate,5,200,0.95,4,0.925,True,0.0571,0.925,0.365,1.3
1R55_097,7,SigmaDock,25,40,0.575,4,0.575,True,0.2858,0.575,0.4,1.015
1R55_097,7,SigmaDock,5,40,0.025,40,0.025,False,1.0,0.025,0.917,7.869
1R55_097,7,Minimal,25,40,0.6,8,0.6,True,0.3843,0.6,0.528,1.389
1R55_097,7,Minimal,5,200,0.63,28,0.64,True,0.3121,0.64,0.472,1.217
1R55_097,7,Separate,25,40,0.7,7,0.725,True,0.2818,0.725,0.568,1.212
1R55_097,7,Separate,5,200,0.705,12,0.76,True,0.1822,0.76,0.534,1.178
1R58_AO5,7,SigmaDock,25,40,0.475,8,0.45,True,0.435,0.45,0.537,0.935
1R58_AO5,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.344
1R58_AO5,7,Minimal,25,40,0.6,10,0.375,True,0.4306,0.375,0.505,0.802
1R58_AO5,7,Minimal,5,200,0.545,20,0.405,True,0.3319,0.405,0.541,0.752
