arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,5,40,frag=8,2,RMSD<2 & PB,je Zug,0.0
SigmaDock,5,40,alle,85,RMSD<2 & PB,nur gnina,3.53
SigmaDock,5,40,frag=1,6,RMSD<2 & PB,nur gnina,33.33
SigmaDock,5,40,frag=2,9,RMSD<2 & PB,nur gnina,11.11
SigmaDock,5,40,frag=3,17,RMSD<2 & PB,nur gnina,0.0
SigmaDock,5,40,frag=4,20,RMSD<2 & PB,nur gnina,0.0
SigmaDock,5,40,frag=5,11,RMSD<2 & PB,nur gnina,0.0
SigmaDock,5,40,frag=6,12,RMSD<2 & PB,nur gnina,0.0
SigmaDock,5,40,frag=7,8,RMSD<2 & PB,nur gnina,0.0
SigmaDock,5,40,frag=8,2,RMSD<2 & PB,nur gnina,0.0
SigmaDock,5,40,alle,85,RMSD<2 & PB,Mixed Score (Paper),8.24
SigmaDock,5,40,frag=1,6,RMSD<2 & PB,Mixed Score (Paper),33.33
SigmaDock,5,40,frag=2,9,RMSD<2 & PB,Mixed Score (Paper),22.22
SigmaDock,5,40,frag=3,17,RMSD<2 & PB,Mixed Score (Paper),17.65
SigmaDock,5,40,frag=4,20,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=5,11,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=6,12,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=7,8,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=8,2,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,5,40,alle,85,RMSD<2 & PB,PB-Filter -> gnina,8.24
SigmaDock,5,40,frag=1,6,RMSD<2 & PB,PB-Filter -> gnina,33.33
SigmaDock,5,40,frag=2,9,RMSD<2 & PB,PB-Filter -> gnina,22.22
SigmaDock,5,40,frag=3,17,RMSD<2 & PB,PB-Filter -> gnina,17.65
SigmaDock,5,40,frag=4,20,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=5,11,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=6,12,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=7,8,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=8,2,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,5,40,alle,85,RMSD<2 & PB,Orakel,11.76
SigmaDock,5,40,frag=1,6,RMSD<2 & PB,Orakel,83.33
SigmaDock,5,40,frag=2,9,RMSD<2 & PB,Orakel,22.22
SigmaDock,5,40,frag=3,17,RMSD<2 & PB,Orakel,17.65
