satz,arm,nfe,K,ziel,regel,mean,count,prozent
AX85,SigmaFlow-Separate,5,125,both,gnina,0.5206988235294115,85,52.06988235294116
AX85,SigmaFlow-Separate,5,126,both,gnina,0.5206329411764706,85,52.06329411764706
AX85,SigmaFlow-Separate,5,127,both,gnina,0.5205294117647058,85,52.05294117647058
AX85,SigmaFlow-Separate,5,128,both,gnina,0.5204164705882353,85,52.04164705882353
AX85,SigmaFlow-Separate,5,129,both,gnina,0.5203564705882354,85,52.03564705882354
AX85,SigmaFlow-Separate,5,130,both,gnina,0.5202505882352942,85,52.02505882352943
AX85,SigmaFlow-Separate,5,131,both,gnina,0.5201682352941177,85,52.016823529411774
AX85,SigmaFlow-Separate,5,132,both,gnina,0.5200835294117647,85,52.00835294117647
AX85,SigmaFlow-Separate,5,133,both,gnina,0.5199035294117645,85,51.990352941176454
AX85,SigmaFlow-Separate,5,134,both,gnina,0.5198494117647059,85,51.98494117647059
AX85,SigmaFlow-Separate,5,135,both,gnina,0.5197,85,51.970000000000006
AX85,SigmaFlow-Separate,5,136,both,gnina,0.5195364705882354,85,51.953647058823535
AX85,SigmaFlow-Separate,5,137,both,gnina,0.5194223529411766,85,51.94223529411766
AX85,SigmaFlow-Separate,5,138,both,gnina,0.5193282352941176,85,51.93282352941176
AX85,SigmaFlow-Separate,5,139,both,gnina,0.5191094117647057,85,51.91094117647057
AX85,SigmaFlow-Separate,5,140,both,gnina,0.5189517647058823,85,51.89517647058823
AX85,SigmaFlow-Separate,5,141,both,gnina,0.5189376470588234,85,51.89376470588234
AX85,SigmaFlow-Separate,5,142,both,gnina,0.5188611764705884,85,51.88611764705884
AX85,SigmaFlow-Separate,5,143,both,gnina,0.5188294117647059,85,51.88294117647059
AX85,SigmaFlow-Separate,5,144,both,gnina,0.5186905882352942,85,51.86905882352942
AX85,SigmaFlow-Separate,5,145,both,gnina,0.5185011764705882,85,51.85011764705882
AX85,SigmaFlow-Separate,5,146,both,gnina,0.5184682352941178,85,51.84682352941178
AX85,SigmaFlow-Separate,5,147,both,gnina,0.518349411764706,85,51.83494117647059
AX85,SigmaFlow-Separate,5,148,both,gnina,0.5182270588235295,85,51.82270588235295
AX85,SigmaFlow-Separate,5,149,both,gnina,0.5180682352941179,85,51.806823529411794
AX85,SigmaFlow-Separate,5,150,both,gnina,0.5180117647058825,85,51.80117647058825
AX85,SigmaFlow-Separate,5,151,both,gnina,0.5178964705882352,85,51.78964705882352
AX85,SigmaFlow-Separate,5,152,both,gnina,0.5177623529411766,85,51.776235294117654
AX85,SigmaFlow-Separate,5,153,both,gnina,0.5176764705882352,85,51.76764705882352
AX85,SigmaFlow-Separate,5,154,both,gnina,0.5174282352941177,85,51.74282352941177
AX85,SigmaFlow-Separate,5,155,both,gnina,0.5173117647058821,85,51.73117647058822
AX85,SigmaFlow-Separate,5,156,both,gnina,0.5171458823529411,85,51.714588235294116
AX85,SigmaFlow-Separate,5,157,both,gnina,0.5169964705882354,85,51.69964705882354
AX85,SigmaFlow-Separate,5,158,both,gnina,0.5167917647058822,85,51.67917647058822
AX85,SigmaFlow-Separate,5,159,both,gnina,0.5167023529411765,85,51.67023529411765
AX85,SigmaFlow-Separate,5,160,both,gnina,0.5165458823529411,85,51.654588235294106
AX85,SigmaFlow-Separate,5,161,both,gnina,0.516416470588235,85,51.6416470588235
AX85,SigmaFlow-Separate,5,162,both,gnina,0.5162494117647058,85,51.624941176470585
AX85,SigmaFlow-Separate,5,163,both,gnina,0.5161,85,51.61
AX85,SigmaFlow-Separate,5,164,both,gnina,0.5159388235294118,85,51.59388235294118
AX85,SigmaFlow-Separate,5,165,both,gnina,0.5157741176470588,85,51.577411764705886
AX85,SigmaFlow-Separate,5,166,both,gnina,0.5155988235294117,85,51.559882352941166
AX85,SigmaFlow-Separate,5,167,both,gnina,0.5153094117647059,85,51.53094117647059
AX85,SigmaFlow-Separate,5,168,both,gnina,0.5150988235294118,85,51.50988235294118
AX85,SigmaFlow-Separate,5,169,both,gnina,0.5148364705882352,85,51.48364705882352
AX85,SigmaFlow-Separate,5,170,both,gnina,0.5145505882352942,85,51.45505882352942
AX85,SigmaFlow-Separate,5,171,both,gnina,0.5143023529411764,85,51.430235294117644
AX85,SigmaFlow-Separate,5,172,both,gnina,0.5140058823529412,85,51.40058823529412
AX85,SigmaFlow-Separate,5,173,both,gnina,0.5137635294117647,85,51.37635294117647
AX85,SigmaFlow-Separate,5,174,both,gnina,0.5135623529411764,85,51.35623529411764
AX85,SigmaFlow-Separate,5,175,both,gnina,0.5133494117647058,85,51.334941176470586
AX85,SigmaFlow-Separate,5,176,both,gnina,0.5131729411764704,85,51.31729411764704
AX85,SigmaFlow-Separate,5,177,both,gnina,0.5128717647058824,85,51.287176470588236
AX85,SigmaFlow-Separate,5,178,both,gnina,0.5125823529411765,85,51.25823529411765
AX85,SigmaFlow-Separate,5,179,both,gnina,0.5123517647058824,85,51.23517647058824
AX85,SigmaFlow-Separate,5,180,both,gnina,0.5121199999999999,85,51.21199999999999
