complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7PIH_7QW,3,Minimal,25,40,0.5,4,0.5,False,0.2414,0.45,0.44,0.505
7PIH_7QW,3,Minimal,5,201,0.5472636815920398,5,0.5025,False,0.1464,0.4826,0.445,0.508
7PIH_7QW,3,Separate,25,40,0.45,3,0.5,False,0.2148,0.475,0.435,0.475
7PIH_7QW,3,Separate,5,201,0.5422885572139303,10,0.4826,True,0.1994,0.4826,0.444,0.511
7POM_7VZ,4,SigmaDock,25,40,0.975,2,0.975,True,0.0317,0.975,0.435,0.572
7POM_7VZ,4,SigmaDock,5,40,0.025,38,0.075,False,0.9777,0.075,0.847,13.228
7POM_7VZ,4,Minimal,25,40,0.65,7,0.65,True,0.3148,0.65,0.371,0.587
7POM_7VZ,4,Minimal,5,200,0.695,15,0.7,True,0.2358,0.7,0.456,0.706
7POM_7VZ,4,Separate,25,40,0.85,6,0.85,True,0.1781,0.85,0.442,0.902
7POM_7VZ,4,Separate,5,200,0.76,19,0.75,True,0.2264,0.75,0.449,0.638
7Q2B_M6H,2,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.453,
7Q2B_M6H,2,SigmaDock,5,40,0.475,23,0.45,True,0.6474,0.45,0.562,22.351
7Q2B_M6H,2,Minimal,25,40,0.975,2,0.975,True,0.0317,0.975,0.718,1.511
7Q2B_M6H,2,Minimal,5,200,0.975,4,0.975,True,0.0265,0.975,0.695,1.296
7Q2B_M6H,2,Separate,25,40,1.0,2,0.95,True,0.0538,0.95,0.635,
7Q2B_M6H,2,Separate,5,200,0.99,4,0.98,True,0.0224,0.98,0.575,1.031
7Q5I_I0F,5,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.307,
7Q5I_I0F,5,SigmaDock,5,40,0.05,39,0.05,True,0.9906,0.05,0.277,10.669
7Q5I_I0F,5,Minimal,25,40,0.875,2,0.975,True,0.0317,0.975,0.307,0.604
7Q5I_I0F,5,Minimal,5,201,0.900497512437811,6,0.9453,True,0.0546,0.9453,0.404,0.64
7Q5I_I0F,5,Separate,25,40,0.925,2,0.975,True,0.0317,0.975,0.425,0.877
7Q5I_I0F,5,Separate,5,201,0.9203980099502488,6,0.9552,True,0.0478,0.9552,0.435,0.794
7R3D_APR,6,SigmaDock,25,40,0.55,4,0.75,True,0.2068,0.75,0.266,0.662
7R3D_APR,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.064
